top - 00:43:49 up  3:26,  2 users,  load average: 0.08, 0.17, 0.28
Tasks: 126 total,   1 running, 123 sleeping,   1 stopped,   1 zombie
%Cpu(s):  3.8 us,  3.8 sy,  0.0 ni, 92.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    475.6 total,     80.5 free,     65.7 used,    329.4 buff/cache
MiB Swap:    512.0 total,    512.0 free,      0.0 used.    352.1 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 2920 pi        20   0   11216   2952   2596 R  11.8   0.6   0:00.06 top
  376 root      20   0   10028   1612   1436 S   5.9   0.3  15:18.49 pigpiod
    1 root      20   0   33920   8700   6824 S   0.0   1.8   0:06.05 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
   10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
   11 root      20   0       0      0      0 S   0.0   0.0   0:00.58 ksoftirqd/0
   12 root      20   0       0      0      0 I   0.0   0.0   0:00.97 rcu_sched
   13 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration/0
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
   16 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration/1
   17 root      20   0       0      0      0 S   0.0   0.0   0:00.51 ksoftirqd/1
   20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
   21 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/2
   22 root      20   0       0      0      0 S   0.0   0.0   0:00.21 ksoftirqd/2
   25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
   26 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration/3
   27 root      20   0       0      0      0 S   0.0   0.0   0:00.20 ksoftirqd/3
   30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   36 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungtaskd
   37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   39 root      20   0       0      0      0 S   0.0   0.0   0:00.90 kcompactd0
   57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
   59 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   61 root       0 -20       0      0      0 I   0.0   0.0   0:00.29 kworker/2:1H-kblockd
   62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
   63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u9:0-hci0
   64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
   66 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kswapd0
   67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nfsiod
   68 root      20   0       0      0      0 I   0.0   0.0   0:01.11 kworker/3:2-events
   69 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iscsi_eh
   70 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iscsi_destroy
   71 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dwc_otg
   73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 DWC Notificatio
   75 root       1 -19       0      0      0 S   0.0   0.0   0:00.00 vchiq-slot/0
   76 root       1 -19       0      0      0 S   0.0   0.0   0:00.00 vchiq-recy/0
   77 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 vchiq-sync/0
   78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
   82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mmc_complete
   83 root       0 -20       0      0      0 I   0.0   0.0   0:00.37 kworker/1:1H-kblockd
   84 root       0 -20       0      0      0 I   0.0   0.0   0:00.78 kworker/0:1H-mmc_complete
   85 root      20   0       0      0      0 S   0.0   0.0   0:00.34 jbd2/mmcblk0p2-
   86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
   88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
  110 root       0 -20       0      0      0 I   0.0   0.0   0:00.29 kworker/3:2H-kblockd
  126 root      20   0   45612  14060  13332 S   0.0   2.9   0:01.38 systemd-journal
  158 root      20   0   20352   4936   3360 S   0.0   1.0   0:01.11 systemd-udevd
  172 root      20   0       0      0      0 S   0.0   0.0   0:00.78 w1_bus_master1
  175 root      20   0       0      0      0 S   0.0   0.0   0:00.00 vchiq-keep/0
